frame_id,source_index,source_label,total_people,queue_pairs,queue_detected,roi_Check-in,roi_Immigration,roi_Security Lane
136,0,File: 2025-11-27 18-27-45.mp4,22,17,True,0,0,5
137,0,File: 2025-11-27 18-27-45.mp4,22,18,True,0,0,5
138,0,File: 2025-11-27 18-27-45.mp4,22,18,True,0,0,5
139,0,File: 2025-11-27 18-27-45.mp4,24,26,True,0,0,6
140,0,File: 2025-11-27 18-27-45.mp4,24,25,True,0,0,5
141,0,File: 2025-11-27 18-27-45.mp4,23,17,True,0,0,6
142,0,File: 2025-11-27 18-27-45.mp4,24,18,True,0,0,7
143,0,File: 2025-11-27 18-27-45.mp4,22,15,True,0,0,6
144,0,File: 2025-11-27 18-27-45.mp4,20,13,True,0,0,6
145,0,File: 2025-11-27 18-27-45.mp4,20,11,True,0,0,6
146,0,File: 2025-11-27 18-27-45.mp4,21,14,True,0,0,7
147,0,File: 2025-11-27 18-27-45.mp4,20,11,True,0,0,7
148,0,File: 2025-11-27 18-27-45.mp4,20,11,True,0,0,7
149,0,File: 2025-11-27 18-27-45.mp4,21,14,True,0,0,7
150,0,File: 2025-11-27 18-27-45.mp4,20,11,True,0,0,7
151,0,File: 2025-11-27 18-27-45.mp4,20,9,True,0,0,7
152,0,File: 2025-11-27 18-27-45.mp4,21,11,True,0,0,8
153,0,File: 2025-11-27 18-27-45.mp4,22,11,True,0,0,8
154,0,File: 2025-11-27 18-27-45.mp4,21,10,True,0,0,8
155,0,File: 2025-11-27 18-27-45.mp4,20,8,True,0,0,8
156,0,File: 2025-11-27 18-27-45.mp4,20,8,True,0,0,8
157,0,File: 2025-11-27 18-27-45.mp4,23,14,True,0,0,9
158,0,File: 2025-11-27 18-27-45.mp4,25,17,True,0,0,10
159,0,File: 2025-11-27 18-27-45.mp4,24,15,True,0,0,10
160,0,File: 2025-11-27 18-27-45.mp4,24,15,True,0,0,10
161,0,File: 2025-11-27 18-27-45.mp4,24,15,True,0,0,9
162,0,File: 2025-11-27 18-27-45.mp4,25,18,True,0,0,10
163,0,File: 2025-11-27 18-27-45.mp4,23,15,True,0,0,9
164,0,File: 2025-11-27 18-27-45.mp4,22,12,True,0,0,9
165,0,File: 2025-11-27 18-27-45.mp4,21,11,True,0,0,9
166,0,File: 2025-11-27 18-27-45.mp4,21,10,True,0,0,8
167,0,File: 2025-11-27 18-27-45.mp4,23,15,True,0,0,9
168,0,File: 2025-11-27 18-27-45.mp4,21,10,True,0,0,8
169,0,File: 2025-11-27 18-27-45.mp4,21,10,True,0,0,8
170,0,File: 2025-11-27 18-27-45.mp4,21,10,True,0,0,8
171,0,File: 2025-11-27 18-27-45.mp4,23,13,True,0,0,9
172,0,File: 2025-11-27 18-27-45.mp4,23,12,True,0,0,9
173,0,File: 2025-11-27 18-27-45.mp4,23,13,True,0,0,9
174,0,File: 2025-11-27 18-27-45.mp4,22,12,True,0,0,9
175,0,File: 2025-11-27 18-27-45.mp4,20,8,True,0,0,8
176,0,File: 2025-11-27 18-27-45.mp4,21,9,True,0,0,8
177,0,File: 2025-11-27 18-27-45.mp4,20,7,True,0,0,8
178,0,File: 2025-11-27 18-27-45.mp4,20,8,True,0,0,8
179,0,File: 2025-11-27 18-27-45.mp4,20,8,True,0,0,9
180,0,File: 2025-11-27 18-27-45.mp4,20,8,True,0,0,9
181,0,File: 2025-11-27 18-27-45.mp4,19,8,True,0,0,9
182,0,File: 2025-11-27 18-27-45.mp4,19,8,True,0,0,9
183,0,File: 2025-11-27 18-27-45.mp4,19,8,True,0,0,9
184,0,File: 2025-11-27 18-27-45.mp4,19,7,True,0,0,8
185,0,File: 2025-11-27 18-27-45.mp4,19,6,True,0,0,8
186,0,File: 2025-11-27 18-27-45.mp4,20,9,True,0,0,9
187,0,File: 2025-11-27 18-27-45.mp4,20,8,True,0,0,9
188,0,File: 2025-11-27 18-27-45.mp4,20,8,True,0,0,9
189,0,File: 2025-11-27 18-27-45.mp4,20,8,True,0,0,9
190,0,File: 2025-11-27 18-27-45.mp4,19,8,True,0,0,9
191,0,File: 2025-11-27 18-27-45.mp4,20,10,True,0,0,10
192,0,File: 2025-11-27 18-27-45.mp4,21,13,True,0,0,11
